date,value
1989-01-01,30570
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,33666
1994-01-01,.
1995-01-01,37777
1996-01-01,.
1997-01-01,40960
1998-01-01,42736
1999-01-01,41913
2000-01-01,43550
2001-01-01,42421
2002-01-01,41271
2003-01-01,41256
2004-01-01,41947
2005-01-01,42791
2006-01-01,44894
2007-01-01,46468
2008-01-01,47155
2009-01-01,46044
2010-01-01,46909
2011-01-01,47335
2012-01-01,47343
2013-01-01,47902
2014-01-01,50118
2015-01-01,51824
2016-01-01,54429
2017-01-01,56732
2018-01-01,59838
2019-01-01,61807
2020-01-01,65770
2021-01-01,63549
2022-01-01,70871
