date,value
1970-01-01,1327.696
1971-01-01,1351.100
1972-01-01,1353.300
1973-01-01,1370.400
1974-01-01,1398.000
1975-01-01,1426.800
1976-01-01,1459.500
1977-01-01,1476.500
1978-01-01,1497.500
1979-01-01,1522.100
1980-01-01,1556.419
1981-01-01,1597.905
1982-01-01,1637.637
1983-01-01,1678.364
1984-01-01,1713.907
1985-01-01,1760.803
1986-01-01,1805.314
1987-01-01,1816.641
1988-01-01,1814.458
1989-01-01,1832.113
1990-01-01,1863.546
1991-01-01,1906.149
1992-01-01,1938.264
1993-01-01,1969.978
1994-01-01,1999.337
1995-01-01,2032.742
1996-01-01,2073.484
1997-01-01,2118.835
1998-01-01,2163.082
1999-01-01,2197.658
2000-01-01,2223.419
2001-01-01,2265.758
2002-01-01,2279.223
2003-01-01,2287.487
2004-01-01,2297.211
2005-01-01,2316.405
2006-01-01,2353.023
2007-01-01,2381.889
2008-01-01,2412.994
2009-01-01,2454.898
2010-01-01,2373.711
2011-01-01,2409.257
2012-01-01,2456.296
2013-01-01,2484.675
2014-01-01,2519.407
2015-01-01,2557.615
2016-01-01,2591.488
2017-01-01,2620.425
2018-01-01,2629.764
2019-01-01,2635.603
2020-01-01,2610.112
2021-01-01,2588.235
2022-01-01,2601.993
2023-01-01,2606.358
