County,POP ID
Anderson County,TXANDE1POP
Andrews County,TXANDR3POP
Angelina County,TXANGE5POP
Aransas County,TXARAN7POP
Archer County,TXARCH9POP
Armstrong County,TXARMS1POP
Atascosa County,TXATAS3POP
Austin County,TXAUST5POP
Bailey County,TXBAIL7POP
Bandera County,TXBAND9POP
Bastrop County,TXBAST1POP
Baylor County,TXBAYL3POP
Bee County,TXBEEC5POP
Bell County,TXBELL7POP
Bexar County,TXBEXA9POP
Blanco County,TXBLAN1POP
Borden County,TXBORD3POP
Bosque County,TXBOSQ5POP
Bowie County,TXBOWI7POP
Brazos County,TXBRAZ3POP
Brazoria County,TXBRAZ0POP
Brewster County,TXBREW3POP
Briscoe County,TXBRIS5POP
Brooks County,TXBROO7POP
Brown County,TXBROW9POP
Burleson County,TXBURL1POP
Burnet County,TXBURN3POP
Caldwell County,TXCALD5POP
Calhoun County,TXCALH7POP
Callahan County,TXCALL9POP
Cameron County,TXCAME2POP
Camp County,TXCAMP3POP
Carson County,TXCARS5POP
Cass County,TXCASS7POP
Castro County,TXCAST9POP
Chambers County,TXCHAM1POP
Cherokee County,TXCHER3POP
Childress County,TXCHIL5POP
Clay County,TXCLAY7POP
Cochran County,TXCOCH9POP
Coke County,TXCOKE1POP
Coleman County,TXCOLE3POP
Collin County,TXCOLL5POP
Collingsworth County,TXCOLL7POP
Colorado County,TXCOLO9POP
Comal County,TXCOMA1POP
Comanche County,TXCOMA3POP
Concho County,TXCONC5POP
Cooke County,TXCOOK7POP
Coryell County,TXCORY0POP
Cottle County,TXCOTT1POP
Crane County,TXCRAN3POP
Crockett County,TXCROC5POP
Crosby County,TXCROS7POP
Culberson County,TXCULB9POP
Dallam County,TXDALL1POP
Dallas County,TXDALL3POP
Dawson County,TXDAWS5POP
Deaf Smith County,TXDEAF7POP
Delta County,TXDELT9POP
Denton County,TXDENT2POP
DeWitt County,TXDEWI3POP
Dickens County,TXDICK5POP
Dimmit County,TXDIMM7POP
Donley County,TXDONL9POP
Duval County,TXDUVA1POP
Eastland County,TXEAST3POP
Ector County,TXECTO5POP
Edwards County,TXEDWA7POP
Ellis County,TXELLI0POP
El Paso County,TXELPA0POP
Erath County,TXERAT3POP
Falls County,TXFALL5POP
Fannin County,TXFANN7POP
Fayette County,TXFAYE9POP
Fisher County,TXFISH1POP
Floyd County,TXFLOY3POP
Foard County,TXFOAR5POP
Fort Bend County,TXFORT5POP
Franklin County,TXFRAN9POP
Freestone County,TXFREE1POP
Frio County,TXFRIO3POP
Gaines County,TXGAIN5POP
Galveston County,TXGALV7POP
Garza County,TXGARZ9POP
Gillespie County,TXGILL1POP
Glasscock County,TXGLAS3POP
Gonzales County,TXGONZ7POP
Gray County,TXGRAY9POP
Grayson County,TXGRAY0POP
Gregg County,TXGREG3POP
Grimes County,TXGRIM5POP
Guadalupe County,TXGUAD7POP
Hale County,TXHALE9POP
Hall County,TXHALL1POP
Hamilton County,TXHAMI3POP
Hansford County,TXHANS5POP
Hardeman County,TXHARD7POP
Hardin County,TXHARD9POP
Harris County,TXHARR1POP
Harrison County,TXHARR0POP
Hartley County,TXHART5POP
Haskell County,TXHASK7POP
Hays County,TXHAYS9POP
Hemphill County,TXHEMP1POP
Henderson County,TXHEND3POP
Hidalgo County,TXHIDA5POP
Hill County,TXHILL7POP
Hockley County,TXHOCK9POP
Hood County,TXHOOD1POP
Hopkins County,TXHOPK3POP
Houston County,TXHOUS5POP
Howard County,TXHOWA7POP
Hudspeth County,TXHUDS9POP
Hunt County,TXHUNT0POP
Hutchinson County,TXHUTC3POP
Irion County,TXIRIO5POP
Jack County,TXJACK7POP
Jackson County,TXJACK9POP
Jasper County,TXJASP1POP
Jeff Davis County,TXJEFF3POP
Jefferson County,TXJEFF5POP
Jim Hogg County,TXJIMH7POP
Jim Wells County,TXJIMW9POP
Johnson County,TXJOHN4POP
Jones County,TXJONE3POP
Karnes County,TXKARN5POP
Kaufman County,TXKAUF7POP
Kendall County,TXKEND9POP
Kenedy County,TXKENE1POP
Kent County,TXKENT3POP
Kerr County,TXKERR5POP
Kimble County,TXKIMB7POP
King County,TXKING9POP
Kinney County,TXKINN1POP
Kleberg County,TXKLEB3POP
Knox County,TXKNOX5POP
Lamar County,TXLAMA7POP
Lamb County,TXLAMB9POP
Lampasas County,TXLAMP1POP
La Salle County,TXLASA3POP
Lavaca County,TXLAVA5POP
Lee County,TXLEEC7POP
Leon County,TXLEON9POP
Liberty County,TXLIBE1POP
Limestone County,TXLIME3POP
Lipscomb County,TXLIPS5POP
Live Oak County,TXLIVE7POP
Llano County,TXLLAN9POP
Loving County,TXLOVI1POP
Lubbock County,TXLUBB3POP
Lynn County,TXLYNN5POP
Madison County,TXMADI3POP
Marion County,TXMARI5POP
Martin County,TXMART7POP
Mason County,TXMASO9POP
Matagorda County,TXMATA1POP
Maverick County,TXMAVE3POP
McCulloch County,TXMCCU7POP
McLennan County,TXMCLE9POP
McMullen County,TXMCMU1POP
Medina County,TXMEDI5POP
Menard County,TXMENA7POP
Midland County,TXMIDL9POP
Milam County,TXMILA1POP
Mills County,TXMILL3POP
Mitchell County,TXMITC5POP
Montague County,TXMONT7POP
Montgomery County,TXMONT0POP
Moore County,TXMOOR1POP
Morris County,TXMORR3POP
Motley County,TXMOTL5POP
Nacogdoches County,TXNACO7POP
Navarro County,TXNAVA9POP
Newton County,TXNEWT1POP
Nolan County,TXNOLA3POP
Nueces County,TXNUEC5POP
Ochiltree County,TXOCHI7POP
Oldham County,TXOLDH9POP
Orange County,TXORAN5POP
Palo Pinto County,TXPALO3POP
Panola County,TXPANO5POP
Parker County,TXPARK7POP
Parmer County,TXPARM9POP
Pecos County,TXPECO1POP
Polk County,TXPOLK3POP
Potter County,TXPOTT5POP
Presidio County,TXPRES7POP
Rains County,TXRAIN9POP
Randall County,TXRAND1POP
Reagan County,TXREAG3POP
Real County,TXREAL5POP
Red River County,TXREDR7POP
Reeves County,TXREEV9POP
Refugio County,TXREFU1POP
Roberts County,TXROBE3POP
Robertson County,TXROBE5POP
Rockwall County,TXROCK7POP
Runnels County,TXRUNN9POP
Rusk County,TXRUSK1POP
Sabine County,TXSABI3POP
San Augustine County,TXSANA5POP
San Jacinto County,TXSANJ7POP
San Patricio County,TXSANP5POP
San Saba County,TXSANS1POP
Schleicher County,TXSCHL3POP
Scurry County,TXSCUR5POP
Shackelford County,TXSHAC7POP
Shelby County,TXSHEL9POP
Sherman County,TXSHER1POP
Smith County,TXSMIT3POP
Somervell County,TXSOME5POP
Starr County,TXSTAR7POP
