date,value
1975-01-01,36.23
1976-01-01,40.70
1977-01-01,43.91
1978-01-01,49.42
1979-01-01,59.28
1980-01-01,66.53
1981-01-01,70.51
1982-01-01,72.85
1983-01-01,79.66
1984-01-01,84.12
1985-01-01,87.65
1986-01-01,88.90
1987-01-01,85.05
1988-01-01,80.92
1989-01-01,79.37
1990-01-01,79.87
1991-01-01,80.83
1992-01-01,82.29
1993-01-01,82.73
1994-01-01,83.15
1995-01-01,84.03
1996-01-01,85.90
1997-01-01,88.05
1998-01-01,91.36
1999-01-01,94.65
2000-01-01,100.00
2001-01-01,105.50
2002-01-01,108.66
2003-01-01,110.00
2004-01-01,111.22
2005-01-01,114.19
2006-01-01,117.85
2007-01-01,120.67
2008-01-01,120.79
2009-01-01,120.22
2010-01-01,119.87
2011-01-01,117.78
2012-01-01,118.76
2013-01-01,125.33
2014-01-01,138.56
2015-01-01,152.74
2016-01-01,168.88
2017-01-01,185.51
2018-01-01,195.14
2019-01-01,199.60
2020-01-01,203.63
2021-01-01,233.37
2022-01-01,290.24
2023-01-01,305.07
