date,value
1989-01-01,47992
1993-01-01,55643
1995-01-01,60998
1997-01-01,65814
1998-01-01,71423
1999-01-01,73775
2000-01-01,77303
2001-01-01,77249
2002-01-01,75866
2003-01-01,74333
2004-01-01,75709
2005-01-01,71419
2006-01-01,74681
2007-01-01,80059
2008-01-01,81875
2009-01-01,77905
2010-01-01,77862
2011-01-01,82765
2012-01-01,81992
2013-01-01,81315
2014-01-01,86634
2015-01-01,86823
2016-01-01,90382
2017-01-01,95394
2018-01-01,96936
2019-01-01,96847
2020-01-01,101560
2021-01-01,102119
2022-01-01,113943
