date,value
1970-01-01,66.920
1971-01-01,70.200
1972-01-01,75.700
1973-01-01,86.200
1974-01-01,94.800
1975-01-01,99.300
1976-01-01,105.000
1977-01-01,113.700
1978-01-01,124.900
1979-01-01,135.900
1980-01-01,144.576
1981-01-01,153.957
1982-01-01,164.703
1983-01-01,175.366
1984-01-01,189.057
1985-01-01,204.221
1986-01-01,218.233
1987-01-01,230.458
1988-01-01,242.017
1989-01-01,253.558
1990-01-01,266.856
1991-01-01,279.114
1992-01-01,292.321
1993-01-01,310.668
1994-01-01,330.867
1995-01-01,352.738
1996-01-01,378.488
1997-01-01,408.371
1998-01-01,438.214
1999-01-01,468.620
2000-01-01,499.564
2001-01-01,537.126
2002-01-01,568.238
2003-01-01,596.386
2004-01-01,627.321
2005-01-01,659.393
2006-01-01,699.089
2007-01-01,732.611
2008-01-01,762.540
2009-01-01,790.054
2010-01-01,787.102
2011-01-01,812.083
2012-01-01,834.839
2013-01-01,856.063
2014-01-01,884.41
2015-01-01,915.014
2016-01-01,944.313
2017-01-01,972.724
2018-01-01,1006.012
2019-01-01,1035.072
2020-01-01,1075.736
2021-01-01,1114.661
2022-01-01,1158.995
2023-01-01,1195.359
