date,value
1975-01-01,31.09
1976-01-01,32.49
1977-01-01,37.04
1978-01-01,43.64
1979-01-01,52.12
1980-01-01,60.12
1981-01-01,64.20
1982-01-01,66.56
1983-01-01,73.31
1984-01-01,79.16
1985-01-01,82.99
1986-01-01,85.04
1987-01-01,80.79
1988-01-01,74.86
1989-01-01,72.93
1990-01-01,72.67
1991-01-01,73.58
1992-01-01,75.25
1993-01-01,75.74
1994-01-01,75.85
1995-01-01,76.26
1996-01-01,78.86
1997-01-01,81.38
1998-01-01,86.26
1999-01-01,91.78
2000-01-01,100.00
2001-01-01,106.65
2002-01-01,110.55
2003-01-01,112.43
2004-01-01,114.96
2005-01-01,119.25
2006-01-01,123.70
2007-01-01,127.31
2008-01-01,129.05
2009-01-01,128.21
2010-01-01,125.26
2011-01-01,122.36
2012-01-01,122.89
2013-01-01,129.38
2014-01-01,141.53
2015-01-01,154.81
2016-01-01,169.93
2017-01-01,186.01
2018-01-01,198.29
2019-01-01,206.18
2020-01-01,210.42
2021-01-01,235.41
2022-01-01,281.60
2023-01-01,295.71
