date,value
1997-01-01,2118.835
1998-01-01,2163.082
1999-01-01,2197.658
2000-01-01,2223.419
2001-01-01,2265.758
2002-01-01,2279.223
2003-01-01,2287.487
2004-01-01,2297.211
2005-01-01,2316.405
2006-01-01,2353.023
2007-01-01,2381.889
2008-01-01,2412.994
2009-01-01,2454.898
2010-01-01,2373.711
2011-01-01,2409.257
2012-01-01,2456.296
2013-01-01,2484.675
2014-01-01,2519.407
2015-01-01,2557.615
2016-01-01,2591.488
2017-01-01,2620.425
2018-01-01,2629.764
2019-01-01,2635.603
2020-01-01,2610.112
2021-01-01,2588.235
2022-01-01,2601.993
