date,value
1975-01-01,35.87
1976-01-01,35.92
1977-01-01,39.52
1978-01-01,47.82
1979-01-01,55.50
1980-01-01,64.22
1981-01-01,66.18
1982-01-01,67.73
1983-01-01,76.08
1984-01-01,78.91
1985-01-01,81.72
1986-01-01,83.59
1987-01-01,80.60
1988-01-01,75.78
1989-01-01,74.96
1990-01-01,75.30
1991-01-01,75.65
1992-01-01,77.69
1993-01-01,79.24
1994-01-01,80.61
1995-01-01,82.75
1996-01-01,84.47
1997-01-01,86.86
1998-01-01,90.53
1999-01-01,94.48
2000-01-01,100.00
2001-01-01,105.81
2002-01-01,108.97
2003-01-01,110.92
2004-01-01,111.48
2005-01-01,114.08
2006-01-01,117.66
2007-01-01,121.22
2008-01-01,121.57
2009-01-01,121.55
2010-01-01,120.68
2011-01-01,118.27
2012-01-01,119.67
2013-01-01,124.73
2014-01-01,135.77
2015-01-01,147.93
2016-01-01,162.46
2017-01-01,179.24
2018-01-01,191.62
2019-01-01,198.90
2020-01-01,203.96
2021-01-01,232.51
2022-01-01,281.93
2023-01-01,295.52
