date,value
1970-01-01,75.633
1971-01-01,81.300
1972-01-01,89.500
1973-01-01,101.000
1974-01-01,106.600
1975-01-01,106.300
1976-01-01,109.400
1977-01-01,116.000
1978-01-01,125.400
1979-01-01,134.800
1980-01-01,143.126
1981-01-01,154.322
1982-01-01,166.463
1983-01-01,176.180
1984-01-01,192.176
1985-01-01,211.105
1986-01-01,228.790
1987-01-01,242.476
1988-01-01,252.657
1989-01-01,261.883
1990-01-01,276.436
1991-01-01,285.653
1992-01-01,296.370
1993-01-01,308.753
1994-01-01,323.996
1995-01-01,338.819
1996-01-01,354.915
1997-01-01,372.612
1998-01-01,394.019
1999-01-01,416.622
2000-01-01,439.056
2001-01-01,464.919
2002-01-01,489.717
2003-01-01,512.661
2004-01-01,533.573
2005-01-01,558.256
2006-01-01,589.982
2007-01-01,615.336
2008-01-01,637.175
2009-01-01,657.470
2010-01-01,665.833
2011-01-01,684.842
2012-01-01,707.027
2013-01-01,727.776
2014-01-01,752.355
2015-01-01,778.799
2016-01-01,807.566
2017-01-01,834.649
2018-01-01,858.148
2019-01-01,888.765
2020-01-01,914.398
2021-01-01,943.883
2022-01-01,977.76
2023-01-01,1007.703
