country,state,county,series_Desc,series_id,,,,,,,,,
United States,TX,Anderson County,House Price Index,ATNHPIUS48001A,,,,,,,,,
United States,TX,Andrews County,House Price Index,ATNHPIUS48003A,,,,,,,,,
United States,TX,Angelina County,House Price Index,ATNHPIUS48005A,,,,,,,,,
United States,TX,Aransas County,House Price Index,ATNHPIUS48007A,,,,,,,,,
United States,TX,Archer County,House Price Index,ATNHPIUS48009A,,,,,,,,,
United States,TX,Armstrong County,House Price Index,ATNHPIUS48011A,,,,,,,,,
United States,TX,Atascosa County,House Price Index,ATNHPIUS48013A,,,,,,,,,
United States,TX,Austin County,House Price Index,ATNHPIUS48015A,,,,,,,,,
United States,TX,Bailey County,House Price Index,ATNHPIUS48017A,,,,,,,,,
United States,TX,Bandera County,House Price Index,ATNHPIUS48019A,,,,,,,,,
United States,TX,Bastrop County,House Price Index,ATNHPIUS48021A,,,,,,,,,
United States,TX,Baylor County,House Price Index,ATNHPIUS48023A,,,,,,,,,
United States,TX,Bee County,House Price Index,ATNHPIUS48025A,,,,,,,,,
United States,TX,Bell County,House Price Index,ATNHPIUS48027A,,,,,,,,,
United States,TX,Bexar County,House Price Index,ATNHPIUS48029A,,,,,,,,,
United States,TX,Blanco County,House Price Index,ATNHPIUS48031A,,,,,,,,,
United States,TX,Borden County,House Price Index,ATNHPIUS48033A,,,,,,,,,
United States,TX,Bosque County,House Price Index,ATNHPIUS48035A,,,,,,,,,
United States,TX,Bowie County,House Price Index,ATNHPIUS48037A,,,,,,,,,
United States,TX,Brazoria County,House Price Index,ATNHPIUS48039A,,,,,,,,,
United States,TX,Brazos County,House Price Index,ATNHPIUS48041A,,,,,,,,,
United States,TX,Brewster County,House Price Index,ATNHPIUS48043A,,,,,,,,,
United States,TX,Briscoe County,House Price Index,ATNHPIUS48045A,,,,,,,,,
United States,TX,Brooks County,House Price Index,ATNHPIUS48047A,,,,,,,,,
United States,TX,Brown County,House Price Index,ATNHPIUS48049A,,,,,,,,,
United States,TX,Burleson County,House Price Index,ATNHPIUS48051A,,,,,,,,,
United States,TX,Burnet County,House Price Index,ATNHPIUS48053A,,,,,,,,,
United States,TX,Caldwell County,House Price Index,ATNHPIUS48055A,,,,,,,,,
United States,TX,Calhoun County,House Price Index,ATNHPIUS48057A,,,,,,,,,
United States,TX,Callahan County,House Price Index,ATNHPIUS48059A,,,,,,,,,
United States,TX,Cameron County,House Price Index,ATNHPIUS48061A,,,,,,,,,
United States,TX,Camp County,House Price Index,ATNHPIUS48063A,,,,,,,,,
United States,TX,Carson County,House Price Index,ATNHPIUS48065A,,,,,,,,,
United States,TX,Cass County,House Price Index,ATNHPIUS48067A,,,,,,,,,
United States,TX,Castro County,House Price Index,ATNHPIUS48069A,,,,,,,,,
United States,TX,Chambers County,House Price Index,ATNHPIUS48071A,,,,,,,,,
United States,TX,Cherokee County,House Price Index,ATNHPIUS48073A,,,,,,,,,
United States,TX,Childress County,House Price Index,ATNHPIUS48075A,,,,,,,,,
United States,TX,Clay County,House Price Index,ATNHPIUS48077A,,,,,,,,,
United States,TX,Cochran County,House Price Index,ATNHPIUS48079A,,,,,,,,,
United States,TX,Coke County,House Price Index,ATNHPIUS48081A,,,,,,,,,
United States,TX,Coleman County,House Price Index,ATNHPIUS48083A,,,,,,,,,
United States,TX,Collin County,House Price Index,ATNHPIUS48085A,,,,,,,,,
United States,TX,Collingsworth County,House Price Index,ATNHPIUS48087A,,,,,,,,,
United States,TX,Colorado County,House Price Index,ATNHPIUS48089A,,,,,,,,,
United States,TX,Comal County,House Price Index,ATNHPIUS48091A,,,,,,,,,
United States,TX,Comanche County,House Price Index,ATNHPIUS48093A,,,,,,,,,
United States,TX,Concho County,House Price Index,ATNHPIUS48095A,,,,,,,,,
United States,TX,Cooke County,House Price Index,ATNHPIUS48097A,,,,,,,,,
United States,TX,Coryell County,House Price Index,ATNHPIUS48099A,,,,,,,,,
United States,TX,Cottle County,House Price Index,ATNHPIUS48101A,,,,,,,,,
United States,TX,Crane County,House Price Index,ATNHPIUS48103A,,,,,,,,,
United States,TX,Crockett County,House Price Index,ATNHPIUS48105A,,,,,,,,,
United States,TX,Crosby County,House Price Index,ATNHPIUS48107A,,,,,,,,,
United States,TX,Culberson County,House Price Index,ATNHPIUS48109A,,,,,,,,,
United States,TX,Dallam County,House Price Index,ATNHPIUS48111A,,,,,,,,,
United States,TX,Dallas County,House Price Index,ATNHPIUS48113A,,,,,,,,,
United States,TX,Dawson County,House Price Index,ATNHPIUS48115A,,,,,,,,,
United States,TX,Deaf Smith County,House Price Index,ATNHPIUS48117A,,,,,,,,,
United States,TX,Delta County,House Price Index,ATNHPIUS48119A,,,,,,,,,
United States,TX,Denton County,House Price Index,ATNHPIUS48121A,,,,,,,,,
United States,TX,De Witt County,House Price Index,ATNHPIUS48123A,,,,,,,,,
United States,TX,Dickens County,House Price Index,ATNHPIUS48125A,,,,,,,,,
United States,TX,Dimmit County,House Price Index,ATNHPIUS48127A,,,,,,,,,
United States,TX,Donley County,House Price Index,ATNHPIUS48129A,,,,,,,,,
United States,TX,Duval County,House Price Index,ATNHPIUS48131A,,,,,,,,,
United States,TX,Eastland County,House Price Index,ATNHPIUS48133A,,,,,,,,,
