country,state,county,series_Desc,series_id,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,filename
United States,TX,Anderson County,House Price Index,ATNHPIUS48001A,,,,,,,,,,United_States_TX_Anderson_County_House_Price_Index
United States,TX,Andrews County,House Price Index,ATNHPIUS48003A,,,,,,,,,,United_States_TX_Andrews_County_House_Price_Index
United States,TX,Angelina County,House Price Index,ATNHPIUS48005A,,,,,,,,,,United_States_TX_Angelina_County_House_Price_Index
United States,TX,Aransas County,House Price Index,ATNHPIUS48007A,,,,,,,,,,United_States_TX_Aransas_County_House_Price_Index
United States,TX,Archer County,House Price Index,ATNHPIUS48009A,,,,,,,,,,United_States_TX_Archer_County_House_Price_Index
United States,TX,Armstrong County,House Price Index,ATNHPIUS48011A,,,,,,,,,,United_States_TX_Armstrong_County_House_Price_Index
United States,TX,Atascosa County,House Price Index,ATNHPIUS48013A,,,,,,,,,,United_States_TX_Atascosa_County_House_Price_Index
United States,TX,Austin County,House Price Index,ATNHPIUS48015A,,,,,,,,,,United_States_TX_Austin_County_House_Price_Index
United States,TX,Bailey County,House Price Index,ATNHPIUS48017A,,,,,,,,,,United_States_TX_Bailey_County_House_Price_Index
United States,TX,Bandera County,House Price Index,ATNHPIUS48019A,,,,,,,,,,United_States_TX_Bandera_County_House_Price_Index
United States,TX,Bastrop County,House Price Index,ATNHPIUS48021A,,,,,,,,,,United_States_TX_Bastrop_County_House_Price_Index
United States,TX,Baylor County,House Price Index,ATNHPIUS48023A,,,,,,,,,,United_States_TX_Baylor_County_House_Price_Index
United States,TX,Bee County,House Price Index,ATNHPIUS48025A,,,,,,,,,,United_States_TX_Bee_County_House_Price_Index
United States,TX,Bell County,House Price Index,ATNHPIUS48027A,,,,,,,,,,United_States_TX_Bell_County_House_Price_Index
United States,TX,Bexar County,House Price Index,ATNHPIUS48029A,,,,,,,,,,United_States_TX_Bexar_County_House_Price_Index
United States,TX,Blanco County,House Price Index,ATNHPIUS48031A,,,,,,,,,,United_States_TX_Blanco_County_House_Price_Index
United States,TX,Borden County,House Price Index,ATNHPIUS48033A,,,,,,,,,,United_States_TX_Borden_County_House_Price_Index
United States,TX,Bosque County,House Price Index,ATNHPIUS48035A,,,,,,,,,,United_States_TX_Bosque_County_House_Price_Index
United States,TX,Bowie County,House Price Index,ATNHPIUS48037A,,,,,,,,,,United_States_TX_Bowie_County_House_Price_Index
United States,TX,Brazoria County,House Price Index,ATNHPIUS48039A,,,,,,,,,,United_States_TX_Brazoria_County_House_Price_Index
United States,TX,Brazos County,House Price Index,ATNHPIUS48041A,,,,,,,,,,United_States_TX_Brazos_County_House_Price_Index
United States,TX,Brewster County,House Price Index,ATNHPIUS48043A,,,,,,,,,,United_States_TX_Brewster_County_House_Price_Index
United States,TX,Briscoe County,House Price Index,ATNHPIUS48045A,,,,,,,,,,United_States_TX_Briscoe_County_House_Price_Index
United States,TX,Brooks County,House Price Index,ATNHPIUS48047A,,,,,,,,,,United_States_TX_Brooks_County_House_Price_Index
United States,TX,Brown County,House Price Index,ATNHPIUS48049A,,,,,,,,,,United_States_TX_Brown_County_House_Price_Index
United States,TX,Burleson County,House Price Index,ATNHPIUS48051A,,,,,,,,,,United_States_TX_Burleson_County_House_Price_Index
United States,TX,Burnet County,House Price Index,ATNHPIUS48053A,,,,,,,,,,United_States_TX_Burnet_County_House_Price_Index
United States,TX,Caldwell County,House Price Index,ATNHPIUS48055A,,,,,,,,,,United_States_TX_Caldwell_County_House_Price_Index
United States,TX,Calhoun County,House Price Index,ATNHPIUS48057A,,,,,,,,,,United_States_TX_Calhoun_County_House_Price_Index
United States,TX,Callahan County,House Price Index,ATNHPIUS48059A,,,,,,,,,,United_States_TX_Callahan_County_House_Price_Index
United States,TX,Cameron County,House Price Index,ATNHPIUS48061A,,,,,,,,,,United_States_TX_Cameron_County_House_Price_Index
United States,TX,Camp County,House Price Index,ATNHPIUS48063A,,,,,,,,,,United_States_TX_Camp_County_House_Price_Index
United States,TX,Carson County,House Price Index,ATNHPIUS48065A,,,,,,,,,,United_States_TX_Carson_County_House_Price_Index
United States,TX,Cass County,House Price Index,ATNHPIUS48067A,,,,,,,,,,United_States_TX_Cass_County_House_Price_Index
United States,TX,Castro County,House Price Index,ATNHPIUS48069A,,,,,,,,,,United_States_TX_Castro_County_House_Price_Index
United States,TX,Chambers County,House Price Index,ATNHPIUS48071A,,,,,,,,,,United_States_TX_Chambers_County_House_Price_Index
United States,TX,Cherokee County,House Price Index,ATNHPIUS48073A,,,,,,,,,,United_States_TX_Cherokee_County_House_Price_Index
United States,TX,Childress County,House Price Index,ATNHPIUS48075A,,,,,,,,,,United_States_TX_Childress_County_House_Price_Index
United States,TX,Clay County,House Price Index,ATNHPIUS48077A,,,,,,,,,,United_States_TX_Clay_County_House_Price_Index
